customer_id,name,loyalty_points,tier,join_date
00000,Customer 00000,1084,Gold,11/21/2024
00001,Customer 00001,1017,Gold,11/26/2024
00002,Customer 00002,604,Silver,03/02/2024
00003,Customer 00003,1108,Gold,05/23/2024
00004,Customer 00004,85,Bronze,05/18/2024
00005,Customer 00005,1217,Gold,06/19/2024
00006,Customer 00006,94,Bronze,11/30/2024
00007,Customer 00007,428,Bronze,10/25/2024
00008,Customer 00008,391,Bronze,01/26/2025
00009,Customer 00009,688,Silver,08/25/2024
00010,Customer 00010,863,Silver,03/06/2024
00011,Customer 00011,347,Bronze,10/19/2024
00012,Customer 00012,468,Bronze,07/12/2024
00013,Customer 00013,982,Silver,04/17/2024
00014,Customer 00014,394,Bronze,03/11/2024
00015,Customer 00015,231,Bronze,01/23/2025
00016,Customer 00016,729,Silver,02/26/2025
00017,Customer 00017,969,Silver,05/28/2024
00018,Customer 00018,1315,Gold,05/07/2024
00019,Customer 00019,492,Bronze,08/04/2024
00020,Customer 00020,1262,Gold,09/06/2024
00021,Customer 00021,228,Bronze,02/15/2025
00022,Customer 00022,492,Bronze,08/29/2024
00023,Customer 00023,876,Silver,01/25/2024
00024,Customer 00024,1132,Gold,09/03/2024
00025,Customer 00025,1163,Gold,02/20/2025
00026,Customer 00026,642,Silver,09/28/2024
00027,Customer 00027,1014,Gold,01/01/2024
00028,Customer 00028,722,Silver,02/15/2025
00029,Customer 00029,119,Bronze,02/14/2025
00030,Customer 00030,756,Silver,08/01/2024
00031,Customer 00031,210,Bronze,03/28/2024
00032,Customer 00032,742,Silver,01/07/2025
00033,Customer 00033,994,Silver,07/04/2024
00034,Customer 00034,939,Silver,06/01/2024
00035,Customer 00035,1445,Gold,09/11/2024
00036,Customer 00036,1311,Gold,01/05/2025
00037,Customer 00037,213,Bronze,02/16/2024
00038,Customer 00038,1442,Gold,12/21/2024
00039,Customer 00039,155,Bronze,12/13/2024
00040,Customer 00040,275,Bronze,01/24/2025
00041,Customer 00041,729,Silver,05/04/2024
00042,Customer 00042,793,Silver,02/09/2024
00043,Customer 00043,992,Silver,01/31/2025
00044,Customer 00044,1347,Gold,02/01/2024
00045,Customer 00045,970,Silver,04/26/2024
00046,Customer 00046,1140,Gold,07/13/2024
00047,Customer 00047,818,Silver,03/01/2024
00048,Customer 00048,1224,Gold,07/24/2024
00049,Customer 00049,108,Bronze,12/05/2024
00050,Customer 00050,516,Silver,06/22/2024
00051,Customer 00051,340,Bronze,07/19/2024
00052,Customer 00052,222,Bronze,01/29/2024
00053,Customer 00053,1077,Gold,02/25/2025
00054,Customer 00054,366,Bronze,05/17/2024
00055,Customer 00055,463,Bronze,08/18/2024
00056,Customer 00056,1172,Gold,10/04/2024
00057,Customer 00057,107,Bronze,01/16/2024
00058,Customer 00058,1026,Gold,01/25/2025
00059,Customer 00059,1440,Gold,05/16/2024
00060,Customer 00060,628,Silver,10/24/2024
00061,Customer 00061,996,Silver,10/06/2024
00062,Customer 00062,922,Silver,09/26/2024
00063,Customer 00063,934,Silver,10/09/2024
00064,Customer 00064,579,Silver,07/27/2024
00065,Customer 00065,837,Silver,02/18/2024
00066,Customer 00066,69,Bronze,05/14/2024
00067,Customer 00067,1064,Gold,01/17/2025
00068,Customer 00068,515,Silver,12/19/2024
00069,Customer 00069,1341,Gold,12/14/2024
00070,Customer 00070,665,Silver,03/08/2024
00071,Customer 00071,1266,Gold,08/10/2024
00072,Customer 00072,1255,Gold,05/13/2024
00073,Customer 00073,168,Bronze,02/17/2025
00074,Customer 00074,1333,Gold,04/05/2024
00075,Customer 00075,1104,Gold,07/02/2024
00076,Customer 00076,1280,Gold,02/07/2025
00077,Customer 00077,292,Bronze,12/08/2024
00078,Customer 00078,180,Bronze,02/26/2024
00079,Customer 00079,896,Silver,07/30/2024
00080,Customer 00080,599,Silver,05/17/2024
00081,Customer 00081,1081,Gold,12/20/2024
00082,Customer 00082,91,Bronze,01/26/2024
00083,Customer 00083,1408,Gold,01/08/2025
00084,Customer 00084,561,Silver,11/24/2024
00085,Customer 00085,172,Bronze,01/30/2024
00086,Customer 00086,344,Bronze,06/13/2024
00087,Customer 00087,202,Bronze,10/19/2024
00088,Customer 00088,199,Bronze,02/28/2024
00089,Customer 00089,296,Bronze,05/25/2024
00090,Customer 00090,1346,Gold,08/10/2024
00091,Customer 00091,1137,Gold,10/02/2024
00092,Customer 00092,558,Silver,10/30/2024
00093,Customer 00093,1231,Gold,02/28/2025
00094,Customer 00094,443,Bronze,12/26/2024
00095,Customer 00095,914,Silver,09/16/2024
00096,Customer 00096,716,Silver,08/25/2024
00097,Customer 00097,1441,Gold,03/28/2024
00098,Customer 00098,990,Silver,03/20/2024
00099,Customer 00099,1218,Gold,02/02/2025
00100,Customer 00100,1474,Gold,11/15/2024
00101,Customer 00101,249,Bronze,01/05/2025
00102,Customer 00102,1013,Gold,01/19/2024
00103,Customer 00103,992,Silver,07/14/2024
00104,Customer 00104,60,Bronze,03/19/2024
00105,Customer 00105,1220,Gold,01/08/2024
00106,Customer 00106,1158,Gold,02/15/2025
00107,Customer 00107,417,Bronze,06/10/2024
00108,Customer 00108,598,Silver,05/20/2024
00109,Customer 00109,577,Silver,03/18/2024
00110,Customer 00110,505,Silver,02/07/2025
00111,Customer 00111,740,Silver,10/04/2024
00112,Customer 00112,0,Bronze,02/18/2024
00113,Customer 00113,50,Bronze,03/13/2024
00114,Customer 00114,754,Silver,05/25/2024
00115,Customer 00115,913,Silver,01/29/2024
00116,Customer 00116,1372,Gold,02/08/2025
00117,Customer 00117,1134,Gold,02/15/2025
00118,Customer 00118,195,Bronze,12/21/2024
00119,Customer 00119,624,Silver,01/01/2025
00120,Customer 00120,546,Silver,01/07/2024
00121,Customer 00121,1461,Gold,07/18/2024
00122,Customer 00122,542,Silver,01/25/2024
00123,Customer 00123,804,Silver,03/28/2024
00124,Customer 00124,1473,Gold,02/20/2025
00125,Customer 00125,1286,Gold,07/06/2024
00126,Customer 00126,303,Bronze,01/25/2025
00127,Customer 00127,104,Bronze,06/23/2024
00128,Customer 00128,279,Bronze,09/27/2024
00129,Customer 00129,189,Bronze,02/27/2025
00130,Customer 00130,326,Bronze,02/09/2025
00131,Customer 00131,535,Silver,02/28/2025
00132,Customer 00132,165,Bronze,12/16/2024
00133,Customer 00133,58,Bronze,07/08/2024
00134,Customer 00134,1020,Gold,09/18/2024
00135,Customer 00135,956,Silver,04/07/2024
00136,Customer 00136,742,Silver,11/01/2024
00137,Customer 00137,529,Silver,08/29/2024
00138,Customer 00138,1044,Gold,05/25/2024
00139,Customer 00139,1208,Gold,02/16/2025
00140,Customer 00140,740,Silver,09/21/2024
00141,Customer 00141,747,Silver,12/28/2024
00142,Customer 00142,363,Bronze,10/21/2024
00143,Customer 00143,126,Bronze,10/31/2024
00144,Customer 00144,712,Silver,05/25/2024
00145,Customer 00145,840,Silver,07/11/2024
00146,Customer 00146,388,Bronze,08/29/2024
00147,Customer 00147,315,Bronze,11/04/2024
00148,Customer 00148,3,Bronze,09/28/2024
00149,Customer 00149,258,Bronze,08/17/2024
00150,Customer 00150,940,Silver,01/11/2025
00151,Customer 00151,1366,Gold,03/04/2024
00152,Customer 00152,630,Silver,05/05/2024
00153,Customer 00153,1475,Gold,02/03/2024
00154,Customer 00154,409,Bronze,12/19/2024
00155,Customer 00155,1017,Gold,02/29/2024
00156,Customer 00156,287,Bronze,01/15/2024
00157,Customer 00157,931,Silver,09/15/2024
00158,Customer 00158,1315,Gold,02/06/2024
00159,Customer 00159,536,Silver,05/19/2024
00160,Customer 00160,100,Bronze,10/11/2024
00161,Customer 00161,591,Silver,02/12/2025
00162,Customer 00162,82,Bronze,02/12/2024
00163,Customer 00163,1222,Gold,04/24/2024
00164,Customer 00164,195,Bronze,04/17/2024
00165,Customer 00165,576,Silver,01/13/2025
00166,Customer 00166,131,Bronze,11/01/2024
00167,Customer 00167,376,Bronze,01/03/2024
00168,Customer 00168,732,Silver,02/18/2025
00169,Customer 00169,491,Bronze,08/14/2024
00170,Customer 00170,370,Bronze,10/30/2024
00171,Customer 00171,1170,Gold,06/22/2024
00172,Customer 00172,176,Bronze,03/29/2024
00173,Customer 00173,895,Silver,03/19/2024
00174,Customer 00174,620,Silver,11/08/2024
00175,Customer 00175,228,Bronze,06/17/2024
00176,Customer 00176,1416,Gold,01/18/2025
00177,Customer 00177,1250,Gold,10/21/2024
00178,Customer 00178,282,Bronze,11/09/2024
00179,Customer 00179,1225,Gold,02/16/2025
00180,Customer 00180,934,Silver,12/20/2024
00181,Customer 00181,949,Silver,01/09/2025
00182,Customer 00182,840,Silver,08/17/2024
00183,Customer 00183,1204,Gold,07/31/2024
00184,Customer 00184,1118,Gold,03/24/2024
00185,Customer 00185,1151,Gold,08/15/2024
00186,Customer 00186,596,Silver,08/14/2024
00187,Customer 00187,506,Silver,09/24/2024
00188,Customer 00188,936,Silver,06/06/2024
00189,Customer 00189,697,Silver,11/13/2024
00190,Customer 00190,994,Silver,02/04/2024
00191,Customer 00191,158,Bronze,05/03/2024
00192,Customer 00192,598,Silver,06/11/2024
00193,Customer 00193,1469,Gold,01/12/2025
00194,Customer 00194,727,Silver,11/19/2024
00195,Customer 00195,922,Silver,05/29/2024
00196,Customer 00196,1203,Gold,03/09/2024
00197,Customer 00197,138,Bronze,02/16/2025
00198,Customer 00198,636,Silver,02/09/2025
00199,Customer 00199,1321,Gold,02/11/2024
00200,Customer 00200,1450,Gold,02/02/2025
00201,Customer 00201,1394,Gold,04/01/2024
00202,Customer 00202,726,Silver,12/21/2024
00203,Customer 00203,674,Silver,08/10/2024
00204,Customer 00204,667,Silver,12/07/2024
00205,Customer 00205,956,Silver,02/11/2025
00206,Customer 00206,896,Silver,12/22/2024
00207,Customer 00207,515,Silver,02/05/2024
00208,Customer 00208,656,Silver,01/17/2025
00209,Customer 00209,1183,Gold,10/27/2024
00210,Customer 00210,1146,Gold,02/14/2024
00211,Customer 00211,485,Bronze,10/27/2024
00212,Customer 00212,1400,Gold,07/08/2024
00213,Customer 00213,1195,Gold,05/27/2024
